Hero_ID,Ban_Rate,Pick_Rate,Base_Win_Rate,Early_Power,Mid_Power,Late_Power,Peak_Time,Data_Timestamp
33,0.0615,0.0207,0.5083,0.467,0.491,0.504,16,2026-01-12
32,0.0336,0.0093,0.5008,0.461,0.498,0.544,8,2026-01-12
31,0.0028,0.0064,0.5010,0.522,0.531,0.540,18,2026-01-12
30,0.3451,0.0132,0.5111,0.772,0.544,0.489,6,2026-01-12
29,0.0087,0.0064,0.5304,0.561,0.587,0.533,8,2026-01-12
28,0.0152,0.0166,0.4841,0.492,0.494,0.497,6,2026-01-12
27,0.1115,0.0179,0.5392,0.539,0.572,0.582,18,2026-01-12
26,0.0245,0.0092,0.4520,0.493,0.488,0.496,18,2026-01-12
25,0.0106,0.0063,0.5117,0.601,0.533,0.542,10,2026-01-12
24,0.0213,0.0034,0.5192,0.582,0.517,0.576,14,2026-01-12
23,0.0031,0.0052,0.5247,0.482,0.562,0.539,18,2026-01-12
22,0.0783,0.0088,0.5231,0.648,0.582,0.502,8,2026-01-12
21,0.2651,0.0114,0.4935,0.634,0.524,0.504,8,2026-01-12
20,0.0222,0.0016,0.5684,0.663,0.614,0.570,6,2026-01-12
19,0.0930,0.0058,0.5365,0.585,0.576,0.567,18,2026-01-12
18,0.0139,0.0122,0.4778,0.426,0.487,0.525,14,2026-01-12
17,0.0585,0.0066,0.4388,0.511,0.428,0.494,6,2026-01-12
16,0.0081,0.0100,0.4727,0.448,0.480,0.482,20,2026-01-12
15,0.0209,0.0063,0.4892,0.436,0.491,0.533,14,2026-01-12
14,0.0488,0.0041,0.5293,0.504,0.574,0.562,14,2026-01-12
13,0.0111,0.0089,0.5121,0.586,0.534,0.500,8,2026-01-12
12,0.0011,0.0020,0.5008,0.582,0.534,0.522,16,2026-01-12
11,0.0041,0.0039,0.5159,0.636,0.550,0.505,8,2026-01-12
10,0.1072,0.0189,0.4688,0.532,0.502,0.500,6,2026-01-12
9,0.0108,0.0044,0.5043,0.536,0.569,0.542,14,2026-01-12
8,0.0194,0.0050,0.4632,0.491,0.441,0.520,8,2026-01-12
7,0.0311,0.0087,0.5055,0.499,0.503,0.538,6,2026-01-12
6,0.0656,0.0198,0.4739,0.500,0.491,0.508,6,2026-01-12
5,0.0449,0.0155,0.4773,0.395,0.425,0.464,20,2026-01-12
4,0.2712,0.0079,0.5051,0.514,0.524,0.564,18,2026-01-12
3,0.2653,0.0108,0.5047,0.512,0.559,0.534,16,2026-01-12
2,0.0032,0.0046,0.4331,0.322,0.446,0.512,18,2026-01-12
1,0.0216,0.0209,0.5000,0.575,0.504,0.542,6,2026-01-12
